customer_id,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,default_flag
CUST0001,1148723.31,556844.38,Other,712.3,0.0,51,124.39,0
CUST0002,334036.89,207824.29,Car,688.1,0.0,43,57.38,0
CUST0003,335105.65,298034.26,Education,584.95,3.0,50,36.84,1
CUST0004,389815.55,223739.05,Car,607.95,2.0,42,101.56,1
CUST0005,646193.85,218041.83,Other,734.29,1.0,49,47.39,0
CUST0006,308205.39,360254.84,Car,669.65,1.0,54,48.02,1
CUST0007,1097865.63,339584.26,Business,850.0,1.0,36,40.42,0
CUST0008,390962.45,358943.2,Other,684.6,2.0,48,93.74,1
CUST0009,735365.69,570837.48,Car,700.98,3.0,36,44.79,1
CUST0010,472710.03,234304.16,Other,604.4,0.0,40,34.04,1
CUST0011,627001.52,416092.02,Other,751.58,0.0,35,74.15,0
CUST0012,269113.2,352062.72,Other,629.83,1.0,40,81.3,0
CUST0013,1127430.35,449384.47,Home,724.09,1.0,47,100.48,1
CUST0014,383043.46,160179.14,Car,742.77,1.0,28,61.77,1
CUST0015,361605.26,80373.03,Business,696.19,0.0,35,79.82,1
CUST0016,,1025140.62,Car,804.2,0.0,53,39.53,0
CUST0017,881690.76,194137.97,Education,650.3,2.0,44,75.16,0
CUST0018,1103565.29,504810.66,Home,798.91,1.0,45,65.23,1
CUST0019,836613.86,297771.92,Home,607.39,0.0,38,58.67,0
CUST0020,506795.75,449391.03,Car,741.94,0.0,52,20.66,0
CUST0021,316779.18,291426.44,Education,680.74,2.0,50,37.06,0
CUST0022,551488.59,460204.22,Car,643.97,2.0,41,43.98,0
CUST0023,379549.39,452234.61,Education,582.02,2.0,47,58.7,1
CUST0024,392293.0,477121.01,Car,673.06,3.0,46,149.46,1
CUST0025,272113.52,188154.23,Business,668.95,1.0,33,69.15,0
CUST0026,692240.99,424828.33,Education,,1.0,41,30.01,1
CUST0027,1544335.57,559932.64,Car,737.11,3.0,41,35.39,0
CUST0028,883549.71,1033968.05,Car,637.45,1.0,50,90.16,1
CUST0029,613259.18,166638.5,Home,804.29,2.0,41,34.62,0
CUST0030,635656.19,284850.0,Car,655.0,1.0,44,74.89,0
CUST0031,8000000.0,35332.03,Education,729.14,1.0,44,47.72,0
CUST0032,9500000.0,47221.18,Car,695.86,1.0,46,41.41,0
CUST0033,12000000.0,113754.58,Car,677.08,1.0,32,34.89,0
CUST0034,699873.25,550386.84,Business,692.6,2.0,43,9.81,0
CUST0035,563397.59,488760.86,Home,628.88,1.0,50,58.94,0
CUST0036,402967.08,341572.21,Other,664.81,1.0,52,26.59,0
CUST0037,691259.68,676419.1,Home,602.92,2.0,37,22.14,1
CUST0038,687991.1,274855.84,Other,654.3,0.0,53,50.93,1
CUST0039,1498493.55,104938.37,Car,659.67,1.0,40,75.3,0
CUST0040,948139.83,851010.11,Car,744.94,2.0,46,19.26,0
CUST0041,732385.78,4000000.0,Home,668.42,0.0,39,74.32,1
CUST0042,386000.78,5500000.0,Home,660.87,0.0,46,28.65,1
CUST0043,360171.69,146841.21,Home,704.3,2.0,41,62.25,1
CUST0044,903556.61,531786.26,Home,701.76,1.0,37,60.11,0
CUST0045,582269.97,360224.01,Education,651.58,2.0,39,40.58,0
CUST0046,745550.92,408709.93,Car,715.62,2.0,48,45.68,0
CUST0047,1113064.89,819210.24,Business,678.39,1.0,37,36.91,1
CUST0048,282801.73,206395.74,Home,651.48,2.0,42,51.34,1
CUST0049,1401560.9,797794.54,Other,657.79,,46,51.11,0
CUST0050,1107801.11,221008.39,Education,751.71,1.0,33,28.35,0
CUST0051,209983.77,115238.74,Home,659.75,0.0,43,22.82,0
CUST0052,2371251.63,1360820.24,Car,706.97,1.0,47,74.5,0
CUST0053,775671.68,216793.05,Home,606.64,0.0,41,49.83,1
CUST0054,499584.27,339067.14,Home,762.49,1.0,37,69.52,0
CUST0055,864763.96,366840.58,Car,652.11,2.0,44,32.18,0
CUST0056,379692.35,257650.26,Education,716.02,0.0,37,29.8,0
CUST0057,877733.45,990765.54,Other,673.65,0.0,36,27.13,0
CUST0058,420123.75,279433.33,Car,715.27,2.0,46,41.11,0
CUST0059,1974696.72,703723.13,Other,718.82,0.0,44,50.55,0
CUST0060,671844.87,169958.49,Other,680.6,1.0,64,34.29,0
CUST0061,929247.43,745061.81,Business,250.0,2.0,41,98.4,0
CUST0062,421844.41,214171.9,Car,760.92,1.0,42,32.64,1
CUST0063,1018458.18,393210.9,Home,680.91,2.0,47,50.96,0
CUST0064,645518.15,431763.88,Home,713.92,3.0,42,28.94,1
CUST0065,299003.09,30000.0,Education,734.96,1.0,44,32.14,1
CUST0066,570009.41,361867.58,Car,660.28,2.0,37,43.1,0
CUST0067,1880106.03,1360560.38,Home,723.61,0.0,29,29.68,0
CUST0068,1042534.17,938936.28,Car,641.41,2.0,42,47.06,1
CUST0069,527704.29,204918.64,Home,715.19,0.0,48,56.08,0
CUST0070,232509.53,307868.97,Business,691.28,1.0,49,77.74,0
CUST0071,411209.25,309135.4,Home,662.54,3.0,40,26.22,1
CUST0072,299888.78,157380.37,Education,693.05,3.0,53,48.94,0
CUST0073,235619.44,52142.98,Business,621.41,2.0,40,43.63,1
CUST0074,1001293.04,637145.88,Home,710.09,1.0,42,17.86,0
CUST0075,672690.56,737994.54,Car,716.83,1.0,39,25.59,0
CUST0076,1744602.49,1800000.0,Business,712.47,1.0,42,900.0,1
CUST0077,375504.07,275672.17,Home,787.64,1.0,55,1200.0,0
CUST0078,649185.08,796153.26,Home,683.83,2.0,53,43.38,0
CUST0079,301924.34,77906.42,Car,688.3,0.0,40,15.57,0
CUST0080,468619.91,97054.35,Education,613.93,2.0,41,42.74,0
CUST0081,575254.12,615867.69,Education,792.21,1.0,52,16.12,0
CUST0082,528959.93,465777.86,Home,592.62,2.0,50,33.26,1
CUST0083,669425.38,446605.45,Car,704.86,0.0,40,36.15,1
CUST0084,1109159.3,1051094.3,Home,650.04,1.0,37,47.85,0
CUST0085,1046809.28,1225670.05,Business,694.05,2.0,44,39.66,0
CUST0086,425744.05,442661.96,Car,604.98,2.0,49,24.26,1
CUST0087,639238.48,679247.86,Business,747.96,2.0,39,24.48,0
CUST0088,1005987.95,1095247.98,Car,627.91,4.0,37,20.08,1
CUST0089,,338323.29,Business,765.81,2.0,49,49.89,1
CUST0090,451843.64,493514.5,Car,629.71,0.0,33,48.81,1
CUST0091,959548.45,324570.93,Education,753.39,1.0,42,62.89,0
CUST0092,779851.05,675583.69,Car,635.99,2.0,37,35.04,0
CUST0093,361650.53,214869.01,Business,650.05,0.0,49,18.91,1
CUST0094,1009347.38,803317.26,Car,689.88,0.0,47,38.42,0
CUST0095,706498.53,470162.13,Car,634.88,2.0,54,45.25,1
CUST0096,249437.29,60184.5,Car,632.97,0.0,49,25.14,0
CUST0097,552997.18,278731.68,Business,635.64,2.0,39,26.36,1
CUST0098,664406.4,748826.03,Education,710.73,1.0,45,56.38,0
CUST0099,465805.84,511396.24,Car,689.97,1.0,57,47.32,0
CUST0100,1277292.65,670465.79,Education,693.42,0.0,49,79.29,0
CUST0101,1303007.11,1501907.88,Education,668.9,2.0,41,106.45,1
CUST0102,526685.07,417917.2,Other,725.67,2.0,42,21.23,1
CUST0103,495837.54,403451.31,Business,,3.0,33,36.5,0
CUST0104,604736.78,191148.01,Education,727.42,3.0,40,47.87,0
CUST0105,582266.39,686708.89,Car,676.42,1.0,50,53.97,0
CUST0106,469231.53,357310.19,Business,610.65,2.0,41,74.78,0
CUST0107,150000.0,246830.17,Education,561.49,1.0,43,64.78,0
CUST0108,1706361.99,1800000.0,Other,685.78,1.0,44,79.51,1
CUST0109,650149.44,643015.85,Home,560.44,4.0,43,46.4,1
CUST0110,589280.21,537709.59,Home,677.05,1.0,42,32.87,1
CUST0111,777291.46,374766.16,Home,781.17,0.0,54,119.3,0
CUST0112,622000.32,306773.88,Education,615.02,1.0,50,48.59,0
CUST0113,513011.7,322509.81,Other,606.4,1.0,53,39.87,0
CUST0114,373854.64,53297.37,Home,731.4,3.0,38,26.33,1
CUST0115,236449.66,145083.56,Business,507.63,0.0,43,48.73,0
CUST0116,308605.56,91330.1,Education,714.82,0.0,36,74.36,0
CUST0117,351708.12,312202.13,Business,785.45,2.0,47,35.04,0
CUST0118,929809.34,184235.63,Car,633.29,3.0,45,42.1,1
CUST0119,968273.99,695677.68,Business,622.12,2.0,51,50.97,0
CUST0120,400207.38,30000.0,Home,728.35,0.0,34,56.98,1
CUST0121,150199.23,80134.96,Business,613.9,1.0,46,39.52,0
CUST0122,653268.85,212766.55,Home,742.7,1.0,40,36.96,0
CUST0123,515493.22,467820.96,Car,619.19,0.0,42,34.86,0
CUST0124,508531.92,50680.99,Business,804.95,0.0,40,25.88,0
CUST0125,1099639.83,1012226.24,Home,733.05,0.0,42,30.62,0
CUST0126,701507.3,421638.58,Home,692.47,1.0,38,30.21,0
CUST0127,379921.08,517896.55,Business,801.2,1.0,40,20.81,1
